7
3
1 1
2 2
3 3
3
1 1
2 2
3 1
4
1 1
3 1
2 4
4 4
3
1 1
2 1
1 2
4
1 1
1 2
2 1
2 2
500
2240 222
2569 616
4618 3270
3870 4895
3314 6216
1493 5949
9069 3351
6024 2949
291 395
189 3538
818 9590
3886 2220
3094 4458
5478 2873
7704 2328
5310 7861
3764 6380
6058 1061
7104 2695
1581 9241
7498 9612
1060 4384
7441 1936
50 7376
9703 6380
791 2246
8020 3588
2342 9867
3534 6141
1783 760
1497 7163
8586 9291
7914 9848
4654 3818
7440 6364
2113 9095
7716 5529
7352 4869
3616 4182
1873 9115
1679 9039
5047 1718
2660 5467
4262 7955
4621 2302
2192 5421
9401 1903
2031 2244
8007 3948
1676 6047
8497 8317
9840 5059
2057 7895
2313 8068
2099 5842
7518 7211
7268 2797
646 8777
9689 1953
1046 4940
250 515
9402 8031
3312 2445
615 1702
8981 1439
4718 1467
8379 6274
8723 7906
9152 3470
6622 2900
3249 2957
897 3658
9757 2143
6780 5736
9291 4527
4750 1149
2093 9494
6541 8023
359 2206
7192 5596
779 1305
7338 9286
1047 2708
609 287
6482 1846
4160 2078
9890 5245
8274 6784
8514 7164
6913 7002
274 1117
7014 4318
2367 9709
3777 1389
9061 7208
4202 956
2194 1971
4601 5273
5692 3769
2468 7792
6534 8215
5847 9337
4543 8876
6569 5092
6219 8011
7708 6936
6679 1636
4597 6824
6599 2770
13 9608
402 997
1975 526
7024 851
307 6220
5667 4826
850 2349
5108 2298
8571 3902
1119 2001
2286 4495
8865 5974
103 9226
6705 6906
2148 1219
861 5884
5658 5184
9527 9100
1494 620
688 2034
6992 4406
4018 464
196 8831
1316 485
724 4324
8762 6451
7048 8313
220 4100
1000 279
9944 9736
6667 4694
74 786
4321 4415
5738 7957
5022 3259
8071 1368
1463 8672
7955 1713
5602 6750
351 6465
2201 4644
2473 8812
7600 6201
7362 2109
8808 8600
3989 4919
274 3546
6933 7582
3879 1850
3574 3223
1016 2342
1215 8606
6498 3346
1614 1591
8980 7489
9644 1223
3332 2694
2483 2115
5806 6295
685 1481
3438 9876
2287 3694
7441 9783
1910 1975
3719 8604
8960 5308
4748 6402
8863 794
839 9315
6057 9560
7362 5377
1011 9645
9787 1793
8720 3072
8650 5836
6660 2063
3540 1891
6286 980
527 4516
1557 2501
9192 5739
4754 5531
4914 4154
6911 5046
3039 2955
7582 1534
5667 6613
8509 3917
9367 4590
9736 3147
5468 6704
4000 2074
3728 7919
8827 6451
7014 9033
8507 4992
4385 6415
3507 7196
9793 6180
728 2376
4850 7203
5572 8176
1168 2038
2273 1821
5216 6452
6548 252
6251 954
5800 1487
2892 5022
6908 3458
6732 6495
3167 6416
7659 9281
4700 2823
7250 472
4529 5562
3991 3251
180 8294
1793 9899
8519 3975
8141 9308
7099 5979
5040 5283
7396 6951
1422 8520
9996 105
1866 238
9258 1037
3342 4009
1972 4148
8574 2431
5842 1283
5224 546
181 8216
6750 5853
8472 3825
5992 6109
6262 9440
2067 1026
204 6874
143 4758
4480 2640
8024 8237
8275 4256
7266 4062
1427 3820
7402 2097
2739 746
2043 5097
4047 718
6975 7428
6667 421
2583 5296
3067 7891
7148 6928
8953 800
6918 3872
914 367
7629 3109
3330 8767
3999 8392
7793 4773
9729 1381
8301 9065
1145 1167
9946 5024
1915 5095
6488 106
6003 1868
9013 8877
2451 3605
8914 1106
1117 7021
9545 5198
8227 2110
2543 99
2380 5281
3799 8088
3898 676
2760 343
6266 8509
7439 9574
9980 8430
9096 3128
7540 6314
9753 5316
8031 4616
8671 7462
2538 853
7550 6565
8016 2670
7347 9381
8914 2959
3564 9597
1676 8405
3050 5356
9878 6203
8549 2024
3624 4419
3425 4263
2753 8450
7873 417
6298 5393
7353 678
3558 8578
6263 3116
2013 1328
2485 3339
5449 1754
8136 1581
4416 4241
7725 2176
7652 1584
9461 3710
5960 219
7262 3887
3172 811
5652 5533
7546 6010
4631 8856
4217 1657
9487 9947
3122 3098
3245 8767
1497 7483
2724 2766
3054 6960
8648 4475
2301 3012
6054 6256
2451 4865
8932 7976
7363 2494
6762 9534
7192 3944
1793 5702
1595 5349
2411 5834
2134 3797
996 5287
842 4217
535 1098
1950 2745
9923 5989
2506 7104
1136 3895
3683 2027
7309 2570
4327 8082
108 2206
7467 4086
6832 3286
1507 396
5461 7074
2195 4952
2113 893
6003 2589
633 9272
5048 9652
39 6054
5680 4268
1675 3913
2590 5553
4576 2077
104 8720
3217 852
6797 8729
4891 978
